Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","Households and NPISHs Final consumption expenditure, PPP (current international $) [NE.CON.PRVT.PP.CD]"
Albania,ALB,2018,YR2018,15054.9984743848,12.304,79.238,19.0461862321065,2.28039848927055,23497531697.8471
Albania,ALB,2019,YR2019,16441.8041908551,11.466,79.467,15.70470712234,2.25302550996799,25353808485.5976
Albania,ALB,2020,YR2020,16287.6432648867,11.69,77.824,15.7070036417042,2.12398982086583,23913980458.792
Albania,ALB,2021,YR2021,18212.8532699363,11.474,76.844,..,2.31608568885389,25618152056.6915
Albania,ALB,2022,YR2022,22032.4608490664,10.137,78.769,..,1.6975478920699,31167734728.7449
Albania,ALB,2023,YR2023,24128.8445370664,10.108,79.602,..,1.38708340817063,33915352788.8762
Albania,ALB,2024,YR2024,26693.1934374653,10.25,..,..,..,37171557772.616
Andorra,AND,2018,YR2018,55244.6554088177,..,84.242,9.89580638748632,..,..
Andorra,AND,2019,YR2019,57475.0692842215,..,84.098,9.01087465277866,..,..
Andorra,AND,2020,YR2020,52095.8414004627,..,79.418,9.08028059086901,2.58464719565779,..
Andorra,AND,2021,YR2021,59332.2029100127,..,82.331,..,..,..
Andorra,AND,2022,YR2022,68470.0759483848,..,84.016,..,..,..
Andorra,AND,2023,YR2023,71730.668682165,..,84.041,..,..,..
Andorra,AND,2024,YR2024,74939.4746038578,..,..,..,..,..
Austria,AUT,2018,YR2018,56636.4953030542,4.933,81.6926829268293,12.5861934480679,0.972669073494819,241762588537.224
Austria,AUT,2019,YR2019,60354.9279422121,4.56,81.8951219512195,11.4645937760057,0.86703158562286,254065813800.548
Austria,AUT,2020,YR2020,58523.0337816246,5.201,81.1926829268293,10.9335136815146,0.728584791296886,241773220224.857
Austria,AUT,2021,YR2021,62968.9422311892,6.459,81.190243902439,..,0.724875548626241,268424138903.522
Austria,AUT,2022,YR2022,70734.9425647902,4.992,81.2951219512195,..,0.871514782049046,312275171235.444
Austria,AUT,2023,YR2023,70478.7873635411,5.264,81.5414634146342,..,0.876191031111463,321427099191.943
Austria,AUT,2024,YR2024,71621.8033644832,5.439,..,..,..,..
Azerbaijan,AZE,2018,YR2018,15282.9995232298,4.9,73.016,23.2360923544978,1.96219351122527,89831219901.1523
Azerbaijan,AZE,2019,YR2019,16675.3179361558,5,73.29,22.023834941184,1.66164299896889,99255431307.886
Azerbaijan,AZE,2020,YR2020,15163.5703327282,7.24,70.312,21.7269999756599,2.15091148557269,94117471818.4063
Azerbaijan,AZE,2021,YR2021,20111.3756952109,6.04,70.999,..,1.7001534193041,101095066472.181
Azerbaijan,AZE,2022,YR2022,22552.0886560523,5.65,74.125,..,1.78722260168325,114155807796.224
Azerbaijan,AZE,2023,YR2023,23651.5994852756,5.636,74.429,..,2.16122820563689,125009678965.829
Azerbaijan,AZE,2024,YR2024,25088.9993757134,5.594,..,..,..,132664459716.449
Belgium,BEL,2018,YR2018,52466.7330784599,5.941,81.5951219512195,12.4925874999047,..,281506224429.26
Belgium,BEL,2019,YR2019,56712.469571978,5.364,81.9951219512195,11.2143791835506,..,300367287452.561
Belgium,BEL,2020,YR2020,56120.0958420466,5.545,80.6951219512195,11.2160664677018,..,285257728597.441
Belgium,BEL,2021,YR2021,60669.2137746531,6.248,81.790243902439,..,1.08030153549307,309809397490.052
Belgium,BEL,2022,YR2022,68157.8347860761,5.57,81.7487804878049,..,..,354633493475.421
Belgium,BEL,2023,YR2023,69103.0102591812,5.528,82.3975609756098,..,..,372045230133.765
Belgium,BEL,2024,YR2024,72236.9050549712,5.488,..,..,..,..
Bosnia and Herzegovina,BIH,2018,YR2018,14858.2829104281,18.4,77.942,32.4989922059154,1.15146147032772,32115639222.925
Bosnia and Herzegovina,BIH,2019,YR2019,16428.3936618412,15.692,77.394,26.7157922521039,1.25540534198886,34479075344.8999
Bosnia and Herzegovina,BIH,2020,YR2020,16369.9356023621,15.868,76.04,26.6019532713554,1.3032872085846,33103136477.1196
Bosnia and Herzegovina,BIH,2021,YR2021,18286.7225355833,14.897,74.567,..,0.986160622452258,35865078188.9022
Bosnia and Herzegovina,BIH,2022,YR2022,21117.2830770519,12.657,76.777,..,1.09211115070447,41113156311.4642
Bosnia and Herzegovina,BIH,2023,YR2023,22512.4345037356,10.668,77.85,..,1.22446173133237,44569649833.1033
Bosnia and Herzegovina,BIH,2024,YR2024,22955.7616198884,10.723,..,..,..,44792988221.1255
