Country,Year,Employment rate,Exposed to air pollution,Households and NPISHs net adjusted disposable income per capita,Housing affordability,Job satisfaction,Life expectancy at birth,Life satisfaction,Satisfaction with personal relationships,Social support,Feeling safe at night,GDP per capita PPP,Unemployment total percent,Life expectancy,PM2.5 air pollution,Intentional homicides,Household consumption expenditure PPP,Cost of living Index,Rent Index,Traffic Index,Time Index,Inefficiency Index,CO2 Emission Index
Albania,2018,,,,,,,,,,,15054.9984743848,12.304,79.238,19.0461862321065,2.28039848927055,23497531697.8471,37.9,7.3,,,,
Albania,2019,,,,,,,,,,,16441.8041908551,11.466,79.467,15.70470712234,2.25302550996799,25353808485.5976,36.2,8.2,,,,
Albania,2020,,,,,,,,,,,16287.6432648867,11.69,77.824,15.7070036417042,2.12398982086583,23913980458.792,36.4,8.5,,,,
Albania,2021,,,,,,,,,,,18212.8532699363,11.474,76.844,,2.31608568885389,25618152056.6915,40.2,9.2,,,,
Albania,2022,,,,,,,,,,,22032.4608490664,10.137,78.769,,1.6975478920699,31167734728.7449,35.5,8.5,,,,
Albania,2023,,,,,,,,,,,24128.8445370664,10.108,79.602,,1.38708340817063,33915352788.8762,37.4,9.1,,,,
Albania,2024,,,,,,,,,,,26693.1934374653,10.25,,,,37171557772.616,40.8,10.2,114.7,36.7,105.7,1492.0
Andorra,2018,,,,,,,,,,,55244.6554088177,,84.242,9.89580638748632,,,,,,,,
Andorra,2019,,,,,,,,,,,57475.0692842215,,84.098,9.01087465277866,,,,,,,,
Andorra,2020,,,,,,,,,,,52095.8414004627,,79.418,9.08028059086901,2.58464719565779,,,,,,,
Andorra,2021,,,,,,,,,,,59332.2029100127,,82.331,,,,,,,,,
Andorra,2022,,,,,,,,,,,68470.0759483848,,84.016,,,,,,,,,
Andorra,2023,,,,,,,,,,,71730.668682165,,84.041,,,,,,,,,
Andorra,2024,,,,,,,,,,,74939.4746038578,,,,,,,,,,,
Austria,2018,,,,,,,,,,84.0,56636.4953030542,4.933,81.6926829268293,12.5861934480679,0.972669073494819,241762588537.224,81.5,29.3,78.9,27.0,82.8,1367.1
Austria,2019,77.654,99.986336,46162.0,79.2029613777,,82.0,,,92.1018243735,84.0,60354.9279422121,4.56,81.8951219512195,11.4645937760057,0.86703158562286,254065813800.548,71.8,27.6,78.1,25.2,73.5,1547.6
Austria,2020,76.457,99.986313,45404.0,78.7387693976,,81.3,,,88.6930648755,82.3333333333,58523.0337816246,5.201,81.1926829268293,10.9335136815146,0.728584791296886,241773220224.857,70.4,26.8,81.8,26.3,77.6,1711.4
Austria,2021,76.428,,47037.0,78.9315567186,,81.3,7.9919458767,,88.6930648755,82.3333333333,62968.9422311892,6.459,81.190243902439,,0.724875548626241,268424138903.522,75.5,28.4,80.1,25.7,74.7,1655.4
Austria,2022,78.006,,47149.0,79.227485712,,81.4,7.8826444055,8.5634548772,88.6930648755,82.3333333333,70734.9425647902,4.992,81.2951219512195,,0.871514782049046,312275171235.444,71.0,27.1,80.4,25.5,73.0,1696.6
Austria,2023,77.92,,46610.0,79.3439751966,7.7133880418,81.9,7.696147497,,89.6883561137,83.0,70478.7873635411,5.264,81.5414634146342,,0.876191031111463,321427099191.943,66.0,23.1,79.1,24.8,79.6,1630.6
Austria,2024,78.197,,,,,,7.6220193507,,89.6883561137,83.0,71621.8033644832,5.439,,,,,66.8,23.7,77.5,24.1,76.4,1585.6
Azerbaijan,2018,,,,,,,,,,,15282.9995232298,4.9,73.016,23.2360923544978,1.96219351122527,89831219901.1523,,,,,,
Azerbaijan,2019,,,,,,,,,,,16675.3179361558,5,73.29,22.023834941184,1.66164299896889,99255431307.886,,,,,,
Azerbaijan,2020,,,,,,,,,,,15163.5703327282,7.24,70.312,21.7269999756599,2.15091148557269,94117471818.4063,,,,,,
Azerbaijan,2021,,,,,,,,,,,20111.3756952109,6.04,70.999,,1.7001534193041,101095066472.181,,,,,,
Azerbaijan,2022,,,,,,,,,,,22552.0886560523,5.65,74.125,,1.78722260168325,114155807796.224,,,,,,
Azerbaijan,2023,,,,,,,,,,,23651.5994852756,5.636,74.429,,2.16122820563689,125009678965.829,,,,,,
Azerbaijan,2024,,,,,,,,,,,25088.9993757134,5.594,,,,132664459716.449,,,,,,
Belarus,2018,,,,,,,,,,,,,,,,,34.1,10.6,115.2,29.1,105.6,4514.0
Belarus,2019,,,,,,,,,,,,,,,,,33.1,10.0,109.8,28.8,92.9,4002.3
Belarus,2020,,,,,,,,,,,,,,,,,34.7,10.5,112.8,30.7,105.5,3592.9
Belarus,2021,,,,,,,,,,,,,,,,,30.7,9.2,108.3,30.1,97.8,3339.2
Belarus,2022,,,,,,,,,,,,,,,,,30.9,9.8,108.8,30.2,96.9,3367.5
Belarus,2023,,,,,,,,,,,,,,,,,35.4,10.0,108.2,29.9,95.1,3396.9
Belarus,2024,,,,,,,,,,,,,,,,,27.1,8.2,110.9,30.8,95.9,3359.5
Belgium,2018,,,,,,,,,,65.6666666667,52466.7330784599,5.941,81.5951219512195,12.4925874999047,,281506224429.26,83.3,28.1,129.1,34.6,156.9,3526.2
Belgium,2019,73.604,99.962563,43766.0,80.4111912624,,82.1,,,90.6998144251,65.6666666667,56712.469571978,5.364,81.9951219512195,11.2143791835506,,300367287452.561,73.0,25.8,136.1,34.9,160.7,4279.4
Belgium,2020,73.468,99.962547,43700.0,80.6831223978,,80.8,,,90.8298792149,65.6666666667,56120.0958420466,5.545,80.6951219512195,11.2160664677018,,285257728597.441,71.8,25.4,145.3,36.1,187.9,4658.5
Belgium,2021,74.057,,44861.0,80.3704920239,,81.9,7.5479577814,,90.8298792149,65.6666666667,60669.2137746531,6.248,81.790243902439,,1.08030153549307,309809397490.052,78.5,26.8,145.9,36.2,187.9,4696.1
Belgium,2022,75.41,,44467.0,79.6440377201,,81.8,7.5772294915,7.9374506945,90.8298792149,65.6666666667,68157.8347860761,5.57,81.7487804878049,,,354633493475.421,72.6,25.8,149.0,36.9,192.4,4718.3
Belgium,2023,75.456,,45273.0,80.9073223943,7.7239212271,82.5,7.681908677,,90.2144180111,71.0,69103.0102591812,5.528,82.3975609756098,,,372045230133.765,65.6,22.4,146.2,36.3,187.8,4705.4
Belgium,2024,75.825,,,,,,7.5976112956,,90.2144180111,71.0,72236.9050549712,5.488,,,,,63.0,21.4,141.6,35.5,183.2,4535.8
Bosnia and Herzegovina,2018,,,,,,,,,,,14858.2829104281,18.4,77.942,32.4989922059154,1.15146147032772,32115639222.925,39.3,6.9,91.0,27.5,67.2,2403.3
Bosnia and Herzegovina,2019,,,,,,,,,,,16428.3936618412,15.692,77.394,26.7157922521039,1.25540534198886,34479075344.8999,35.7,6.3,92.8,26.4,69.8,2765.8
Bosnia and Herzegovina,2020,,,,,,,,,,,16369.9356023621,15.868,76.04,26.6019532713554,1.3032872085846,33103136477.1196,36.0,6.7,92.5,26.7,71.9,2682.1
Bosnia and Herzegovina,2021,,,,,,,,,,,18286.7225355833,14.897,74.567,,0.986160622452258,35865078188.9022,38.6,7.1,89.5,25.9,68.6,2521.3
Bosnia and Herzegovina,2022,,,,,,,,,,,21117.2830770519,12.657,76.777,,1.09211115070447,41113156311.4642,36.1,6.8,90.4,26.0,70.7,2579.3
Bosnia and Herzegovina,2023,,,,,,,,,,,22512.4345037356,10.668,77.85,,1.22446173133237,44569649833.1033,35.1,5.9,95.1,27.1,102.8,2705.8
Bosnia and Herzegovina,2024,,,,,,,,,,,22955.7616198884,10.723,,,,44792988221.1255,34.7,5.7,93.1,26.6,100.4,2595.7
Bulgaria,2018,,,,,,,,,,,23997.2137719712,5.211,74.9634146341464,19.7159830127087,1.30965598682543,87325528816.7974,41.2,9.8,106.9,31.1,106.2,2757.1
Bulgaria,2019,77.678,99.886948,18972.0,76.2584904125,,75.1,,,93.1428503554,,26765.1382137612,4.23,75.1121951219512,17.5380256575647,1.18988414972527,94852857640.0508,37.2,9.2,98.6,28.8,88.7,2729.5
Bulgaria,2020,76.384,99.886482,19275.0,77.2799560808,,73.3,,,91.0492372263,,27352.0308736744,5.125,73.3560975609756,17.1474236131426,0.995146569224991,92630701064.4641,36.7,9.6,102.4,29.4,92.4,2937.4
Bulgaria,2021,76.493,,20194.0,76.7759882571,,71.2,5.6635483578,,91.0492372263,,30959.1971248,5.267,71.2121951219512,,1.29412653402161,107368818113.569,40.9,9.9,102.6,29.4,93.8,2953.9
Bulgaria,2022,78.859,,20998.0,76.6188506286,,74.2,5.5609930211,6.0258107115,91.0492372263,,35815.2714195186,4.268,74.1609756097561,,1.11341216291447,127570479150.87,38.4,9.1,102.6,29.4,92.3,2942.0
Bulgaria,2023,79.434,,,,6.2021387473,75.8,5.8810288066,,92.9535528324,,37435.2763390633,4.319,75.7073170731707,,1.08890737415431,133943935021.487,40.5,10.0,99.4,28.9,89.1,2766.4
Bulgaria,2024,80.314,,,,,,6.2387145375,,92.9535528324,,41519.5397897491,4.104,,,,150902722483.73,38.7,9.9,100.2,29.1,93.1,2794.5
Croatia,2018,,,,,,,,,,72.6666666667,29788.5696424301,8.432,77.919512195122,20.0014497847215,0.596292847367914,57693958653.7116,55.1,12.0,104.6,29.5,96.9,3098.0
